Cell_ID,Sample,x,y,Cell_Type
mouse2_slice229-113556269890279413266566697667721510703,mouse2_slice229,-4991.07830824703,-1146.39000603557,L2/3 IT
mouse2_slice229-113825223854640817255902868475257648398,mouse2_slice229,-5638.49280665815,-2216.26400369406,Endo
mouse2_slice229-113876303035291091003434366733496106114,mouse2_slice229,-6173.06188385077,-1674.80827614293,L6 CT
mouse2_slice229-113950628686156163952154665690355474773,mouse2_slice229,-5511.87331090122,-749.525655930489,Endo
mouse2_slice229-114038053846867857597724710406823765016,mouse2_slice229,-6623.74765715227,-871.599001839757,L2/3 IT
mouse2_slice229-114106990037552972637684532885181545909,mouse2_slice229,-4662.36280585825,-1397.28502874076,L2/3 IT
mouse2_slice229-114137939035493060367777309884415371844,mouse2_slice229,-6059.75880594552,-1841.11050286144,Oligo
mouse2_slice229-11414142141352459691325629057536171911,mouse2_slice229,-4890.82431160659,-2199.44650425762,L6 CT
mouse2_slice229-114151300616516963347150045971512158960,mouse2_slice229,-5205.074807778,-1150.62150589377,L4/5 IT
mouse2_slice229-114191668119914910863722135987463232664,mouse2_slice229,-6207.77645768747,-1604.98852848262,L6 CT
mouse2_slice229-114254477822923658491430880430338486874,mouse2_slice229,-5874.40630545467,-1548.785530366,L5 ET
mouse2_slice229-114265608886762988557980872297451613426,mouse2_slice229,-5200.78905792162,-2120.62125689909,Sst
mouse2_slice229-114267044829813359651390169912757658304,mouse2_slice229,-6225.14730710536,-931.751030936837,L4/5 IT
mouse2_slice229-114347130967423089768545391634238021586,mouse2_slice229,-6377.28795870915,-1253.36557745077,Astro
mouse2_slice229-114386241840222834168851635595136482317,mouse2_slice229,-5975.99680875242,-700.143025293946,Peri
mouse2_slice229-114460364593452913727517483371831927226,mouse2_slice229,-5205.83430775255,-2265.08900205791,L6b
mouse2_slice229-114499860150312218094451125065901658389,mouse2_slice229,-5035.23780676723,-1800.91125420853,L5/6 NP
mouse2_slice229-114577198079163779750095952248991245760,mouse2_slice229,-5508.83531100303,-1750.94700588286,Endo
mouse2_slice229-114655418908513583710442040599832091553,mouse2_slice229,-5565.25530911237,-1214.09400376678,L4/5 IT
mouse2_slice229-11466943362058355207799528380745505594,mouse2_slice229,-6363.24805917963,-1566.6337797679,L6 CT
mouse2_slice229-114685313853952044304143841884626789603,mouse2_slice229,-5325.6636604391,-1248.16300262511,Endo
mouse2_slice229-114690983255947015018504560552275891976,mouse2_slice229,-5054.99565610513,-1678.33452602476,L5 ET
mouse2_slice229-114691490002244757864074613354694578748,mouse2_slice229,-4931.67456023768,-2107.8725073263,L6 IT
mouse2_slice229-114696905871967785398180721660954008428,mouse2_slice229,-5927.38881038129,-1978.72300495207,L6b
mouse2_slice229-114739182509397763492090461420810548763,mouse2_slice229,-5980.44530860335,-798.904004275799,L2/3 IT
mouse2_slice229-114761766828111836861476872328631889302,mouse2_slice229,-6352.99480952322,-1069.4375263229,L4/5 IT
mouse2_slice229-114944390848407449482352056414145318180,mouse2_slice229,-5509.59481097758,-1101.77052523941,L2/3 IT
mouse2_slice229-114976415522016759390824781710201805365,mouse2_slice229,-6166.23180907965,-1885.27000138164,Lamp5
mouse2_slice229-115046065819616432238445406579434737412,mouse2_slice229,-6040.22880659997,-1483.87887583897,Sst
mouse2_slice229-115110051937939110971565577138329686872,mouse2_slice229,-6389.99330828339,-1855.64950237423,Astro
mouse2_slice229-115169968415770991393085722781652595828,mouse2_slice229,-5279.54031198472,-1122.15767455623,L4/5 IT
